target,prior,posterior_target,entropy,marginal_likelihood
Year,0.0012620344886189,0.6272849702679575,2.368168165685063,44.31504150905456
Old,0.0007777010774164,0.5213641050848787,2.843014725061729,32.856128784523584
Bottle,5.147772256208681e-05,0.07427635818263101,4.608471160105045,15.265588175720536
Message,0.0001383809746292,0.15299252198408522,4.3839822977327,19.922828676810475
Angela,1.4530002336072889e-05,0.019948134803623358,4.684413380093478,16.043835807437926
Erdmann,1.826628865106306e-07,0.0002234298512024603,4.636728439362773,18.007521376636724
never,0.0011250373237359,0.5892812057487361,2.613731075104176,42.052242439437144
knew,0.0002186419399142,0.22137256010878426,4.177433000935207,21.754770367491506
her,0.0027676194925853,0.7749742414158123,1.5718222274955616,78.66180942362688
grandfather,2.4078289585492212e-05,0.02763121381632266,4.66682067693018,19.194220908203253
He,0.006780667756834,0.8869154904393137,0.8663197644793318,168.3972689865566
died,0.0002186419399142,0.23317718019165867,4.112162071538567,20.65343275389085
in,0.0257388612810434,0.9633184914295247,0.32009477425659516,588.5240994002593
six,0.000269842900527,0.24146352263256343,4.04804159085853,24.615251834431078
years,0.0012620344886189,0.6133273828096647,2.4778494839532383,45.32352586001734
before,0.001177622094095,0.6219395534121687,2.414781757081509,41.70638871974445
she,0.0025185337382526,0.7216395156673244,1.819231963063888,76.87272666518066
was,0.0091469824229944,0.9138711065812027,0.6949878255703004,220.46401731586218
born,0.0001702085987939,0.1878995287320205,4.2886357563626545,19.952651848652156
But,0.0059088676166696,0.8995548420577053,0.7870474509281569,144.68430868194358
on,0.0112503732373592,0.9270282123324035,0.5966965443374208,267.31221120878445
Tuesday,5.908867616669641e-05,0.06776209287420722,4.5766642583328085,19.207120814026016
April,0.0002144905106753,0.23980421592001377,4.066057787375123,19.701354617868592
described,0.0001383809746292,0.15710142067258684,4.408728362657514,19.401758375403116
the,0.0743105833759156,0.9894184993830033,0.10879461640609293,1654.3045475119357
extraordinary,3.1689243190101826e-05,0.031108507396582767,4.621845084688131,22.437657400006415
moment,0.0002407828958549,0.22744870471476164,4.142573820023202,23.317768400455765
when,0.0032381148063248,0.8178994828825965,1.3278970798505285,87.20414490274041
received,0.0002006524132124,0.20000979010421893,4.2167835630165555,22.09723591012921
a,0.0316892431901018,0.968979098032097,0.28112536882065087,720.3478719073133
message,0.0001383809746292,0.13756300662306428,4.437388782179122,22.157438101611284
bottle,5.147772256208681e-05,0.0734833094635879,4.684280415781365,15.43033790238049
after,0.0017851145727175,0.6892744466427289,2.0476749134677434,57.04515127071526
he,0.006780667756834,0.8718788785013262,0.9583905568486217,171.30148475276513
had,0.0029613528570662,0.777287818176392,1.5197183280579414,83.91761183850099
lobbed,3.390333878417007e-07,0.0005521322585853221,4.707055008957312,13.525214664556065
it,0.0123297448394675,0.9331601095940039,0.548861262692256,291.0333394805999
into,0.0017851145727175,0.6846042600523797,2.0484653832260102,57.434297988102834
Baltic,5.14777225620868e-06,0.008500536416664747,4.682735052512159,13.338832276342849
Sea,0.0001591381208236,0.151694482580085,4.167339109796904,23.10730301690634
Thought,0.0005383019913078,0.43720910337458535,3.294183430682908,27.119495699656174
to,0.0372244821752724,0.9763721887218778,0.22036584142741253,839.7656066344463
be,0.0085381061346256,0.8938831117155301,0.8146986574769965,210.39026273337836
world,0.0010738363631231,0.609360543058608,2.5031286058188322,38.815804848190986
s,0.0010018782563158,0.46647107831061185,3.090449877380415,47.30805010081703
oldest,2.4078289585492212e-05,0.03346224859076897,4.609970526456742,15.849491420567661
presented,7.777010774164726e-05,0.08192854233725047,4.558690519215123,20.908471811672598
