target,prior,posterior_target,entropy,marginal_likelihood
Year,0.0012620344886189,0.5525772316665272,2.6920914496920108,50.3063787329667
Old,0.0007777010774164,0.4326365856666778,3.2221374108420813,39.59444658130317
Bottle,5.147772256208681e-05,0.05398865743557355,4.644326260335081,21.00204652359512
Message,0.0001383809746292,0.138708288283683,4.383563896532958,21.974489354870425
Angela,1.4530002336072889e-05,0.020067206291868447,4.653193302589537,15.948637533250375
Erdmann,1.826628865106306e-07,0.0001791569322425168,4.634059037401568,22.45750567028433
never,0.0011250373237359,0.5322432243284881,2.812866588501847,46.558781768268574
knew,0.0002186419399142,0.18369769225685298,4.2072302442197715,26.216492715088265
her,0.0027676194925853,0.7309311151859269,1.8025610172634394,83.40167058145256
grandfather,2.4078289585492212e-05,0.02351951289316614,4.625236833709698,22.54977066750379
He,0.006780667756834,0.8480763673332765,1.1120535762964496,176.10931298732888
died,0.0002186419399142,0.18365846922657186,4.231760392467808,26.222091641682603
in,0.0257388612810434,0.9580842246073723,0.35973798985045935,591.739361783679
six,0.000269842900527,0.2098325419444648,4.153133563635596,28.32585147828252
years,0.0012620344886189,0.5933166570089256,2.5823676675000447,46.85214744445041
before,0.001177622094095,0.5713920813954918,2.6563419852077437,45.39589122663825
she,0.0025185337382526,0.684131624234675,2.0159387383957634,81.08731605668096
was,0.0091469824229944,0.8963741672928836,0.8044874339616196,224.76740497135918
born,0.0001702085987939,0.1538175042178774,4.304532768600458,24.37364913947213
But,0.0059088676166696,0.8696971570908453,0.9808619899009239,149.65148429365155
on,0.0112503732373592,0.9135406410718787,0.6822729952142763,271.2588254428886
Tuesday,5.908867616669641e-05,0.0559954756423316,4.581655731433422,23.243211875893543
April,0.0002144905106753,0.2177287530306537,4.175454688927165,21.69886995143434
described,0.0001383809746292,0.11433904696571111,4.419353964666028,26.65794306678244
the,0.0743105833759156,0.9860509371222004,0.13842867973173759,1659.9543302486518
extraordinary,3.1689243190101826e-05,0.026382341074965645,4.5973521556714845,26.45716804307514
moment,0.0002407828958549,0.20112705939794642,4.1918510500659005,26.36938179973517
when,0.0032381148063248,0.7861006374271996,1.5105110344758836,90.73167178009787
received,0.0002006524132124,0.15861485154463842,4.285108519259923,27.864121633178478
a,0.0316892431901018,0.9588719381945767,0.3561718677688221,727.9408264927748
message,0.0001383809746292,0.1356450276689568,4.401488600311562,22.47073745866214
bottle,5.147772256208681e-05,0.054798678486901016,4.625243206477734,20.691599259631676
after,0.0017851145727175,0.6412888886966229,2.3004512307951637,61.31365406266095
he,0.006780667756834,0.8488162284788788,1.097158492966646,175.95580927982846
had,0.0029613528570662,0.7341141241226108,1.7644079399893524,88.852857163701
lobbed,3.390333878417007e-07,0.0003951772697633096,4.608974156005891,18.8971074299527
it,0.0123297448394675,0.9115625068434411,0.6948035417399943,297.9287771561111
into,0.0017851145727175,0.6251108304634032,2.3150739911572695,62.900470060044775
Baltic,5.14777225620868e-06,0.006038189989144637,4.682024540983426,18.778347439328886
Sea,0.0001591381208236,0.12953887546281098,4.290591142850115,27.05944730836542
Thought,0.0005383019913078,0.3887646567941988,3.4907105620242036,30.498889730848934
to,0.0372244821752724,0.9701600688832066,0.26879472957687917,845.1427858774683
be,0.0085381061346256,0.8657390877943769,0.9972885634654818,217.2297697749644
world,0.0010738363631231,0.5385578922331526,2.8084835248147146,43.91880661793519
s,0.0010018782563158,0.42653551592341027,3.2495788810844806,51.737396581210184
oldest,2.4078289585492212e-05,0.02641294668979904,4.590860413561798,20.07953251793468
presented,7.777010774164726e-05,0.06948771433123005,4.53049308513787,24.65184866873579
by,0.0063240105405574,0.866906100959473,0.984775564773215,160.68130297320013
museum,7.098943998481325e-05,0.06963486190362181,4.522478539820643,22.454937496424414
that,0.014114859412185,0.9366188583184221,0.5252148804337983,331.9391503596032
is,0.016190574031624,0.9313850756893864,0.5560304668668904,382.89332137074507
now,0.0020895527169019,0.6931935416796038,2.016609156612359,66.39626407044378
exhibiting,3.473362463194567e-06,0.004223329538714847,4.643405094468509,18.11506745736952
Germany,0.0001098744938556,0.10579243684099861,4.471271787564747,22.876368603451763
It,0.0123297448394675,0.8983771494626895,0.7701002477637404,302.30143668241703
