target,prior,posterior_target,entropy,marginal_likelihood
Year,0.0012620344886189,0.7510308148390236,1.6622416924741268,37.013340792666234
Old,0.0007777010774164,0.6484851066432353,2.1430410249668865,26.415419575272917
Bottle,5.147772256208681e-05,0.14202485010323548,4.465862963293434,7.9836190243056935
Message,0.0001383809746292,0.31923471548479065,3.826566990208258,9.547970995865294
Angela,1.4530002336072889e-05,0.04859601514589471,4.649677303411623,6.585819814508142
Erdmann,1.826628865106306e-07,0.0005452777527996749,4.642353256969839,7.3786575759770585
never,0.0011250373237359,0.7379274286556593,1.7861496772002685,33.58134576227159
knew,0.0002186419399142,0.3544309447499633,3.5859825175404962,13.587722184437766
her,0.0027676194925853,0.859909610818418,1.0330528566974795,70.89219066693649
grandfather,2.4078289585492212e-05,0.0768722792003281,4.603622518441627,6.899231133373647
He,0.006780667756834,0.9332202237399568,0.5407616810812741,160.04169499596125
died,0.0002186419399142,0.3503726606652666,3.653695897037671,13.745105573266338
in,0.0257388612810434,0.9798400725052175,0.18398513490421972,578.6006956774659
six,0.000269842900527,0.38972649656450614,3.4685347334666377,15.250914348456725
years,0.0012620344886189,0.7765286826023527,1.5880991261745376,35.7979816048412
before,0.001177622094095,0.7821809339720357,1.5357942519707106,33.16221560537237
she,0.0025185337382526,0.8022381641716564,1.285351944906406,69.14953652942597
was,0.0091469824229944,0.9539563168658076,0.40017555089467854,211.20012720050562
born,0.0001702085987939,0.2935883353185573,3.893313286012947,12.76990066804893
But,0.0059088676166696,0.9405996948977943,0.4929203589473278,138.3707342779399
on,0.0112503732373592,0.9540795220200049,0.3902796920768733,259.7330259922562
Tuesday,5.908867616669641e-05,0.1442672859528364,4.352870960949625,9.021551184317964
April,0.0002144905106753,0.4162657342940522,3.376932941270314,11.34964400736077
described,0.0001383809746292,0.3112359780476989,3.863417681041581,9.793353016067305
the,0.0743105833759156,0.9942365136106605,0.06225666194034213,1646.2878807151742
extraordinary,3.1689243190101826e-05,0.08278115238000108,4.51039524560265,8.431895559824538
moment,0.0002407828958549,0.4179559141988026,3.399718457033278,12.689367560904483
when,0.0032381148063248,0.9043208616686439,0.7675483082405057,78.87048507270266
received,0.0002006524132124,0.362824295032086,3.6022608477828992,12.181277761119894
a,0.0316892431901018,0.9828825599921817,0.1633394511937225,710.1581202088287
message,0.0001383809746292,0.29462667021737954,3.9199652386460437,10.345444294208676
bottle,5.147772256208681e-05,0.1343294670458549,4.545800426253582,8.440979631232326
after,0.0017851145727175,0.8185143166949237,1.3089591973688104,48.03796863876758
he,0.006780667756834,0.9141621120135466,0.6485346663390752,163.37818473233736
had,0.0029613528570662,0.8428819376919527,1.0658024181078989,77.38703903317082
lobbed,3.390333878417007e-07,0.001200610859710694,4.701908709282645,6.219923183430242
it,0.0123297448394675,0.9608866753840418,0.3366960684506804,282.6355177177181
into,0.0017851145727175,0.7839355762275872,1.4545640071692336,50.15688312678127
Baltic,5.14777225620868e-06,0.017070863920118647,4.7339265246344935,6.642149457193227
Sea,0.0001591381208236,0.237561208095977,3.7757231327065783,14.755146276048107
Thought,0.0005383019913078,0.6598824259827258,2.223263285527396,17.96818634949976
to,0.0372244821752724,0.9866081246189059,0.12993397000053888,831.0531434957919
be,0.0085381061346256,0.9301009243423206,0.5503144938553047,202.1977376914677
world,0.0010738363631231,0.7598108334909941,1.6777994699907526,31.1298798055779
s,0.0010018782563158,0.6219920804659012,2.2913274340084064,35.47928958640555
oldest,2.4078289585492212e-05,0.06673030437052949,4.550230379600967,7.947807625863625
presented,7.777010774164726e-05,0.19314398696237156,4.286028563212675,8.869034159285292
by,0.0063240105405574,0.9382141644349624,0.5016553906699818,148.46887537823008
museum,7.098943998481325e-05,0.1656262672848261,4.3142118347806555,9.440812120271863
that,0.014114859412185,0.9734582083643004,0.24557456882576328,319.3773141667827
is,0.016190574031624,0.9680324035349969,0.2758237986163228,368.39792118896685
now,0.0020895527169019,0.8308837686817774,1.2085794499955238,55.393381336966
exhibiting,3.473362463194567e-06,0.013885157596525803,4.7069142621275954,5.509905015962025
Germany,0.0001098744938556,0.2521703186104375,4.005081277343791,9.597270582708074
It,0.0123297448394675,0.9606846316383097,0.3339421314175594,282.6949594291767
very,0.0013838097462926,0.7887900732196451,1.4965839156326735,38.6420152561258
surprising,2.643076615418973e-05,0.08406035125240569,4.541928538194791,6.925695145832907
said,0.0014114859412185,0.7540476448252268,1.6252203924664759,41.23087846963026
recalling,3.3211433911023743e-06,0.011539266703064018,4.66737126941592,6.339488737559081
how,0.0024078289585492,0.8522618106288034,1.0789515596621089,62.229659400200994
found,0.0006628448684741,0.6687122220526258,2.212564405295495,21.833203194481065
out,0.0033211433911023,0.8754765404611744,0.9333039735145394,83.55798005190225
about,0.0034733624631945,0.9067655853510528,0.7413750495934164,84.3723016449727
A,0.0316892431901018,0.9868350182093293,0.12858163217757126,707.3138045472435
man,0.0009146982422994,0.6914407523939134,2.0686114686710786,29.138533528465647
stood,5.147772256208681e-05,0.12647661871733348,4.540982088397694,8.965074388511932
at,0.0069328868289262,0.9279208897958399,0.573225706788192,164.56898026103002
my,0.0051477722562086,0.9148324802891222,0.6449233769081101,123.94316114027674
door,0.0001660571695551,0.290369892514535,3.9319702855127128,12.59652828849926
and,0.0355639104797212,0.9872783644597786,0.12483957813151264,793.441126545684
told,0.0004801819819635,0.47411323051147425,2.8527187003748367,22.308409300435155
me,0.0041791054338038,0.8639163844795287,0.917767749599786,106.55073169613155
post,0.0003722448217527,0.4644789608636359,3.1547184324742084,17.652549468299693
from,0.0059088676166696,0.9404655503713063,0.5066191231006748,138.3904709675211
then,0.0016190574031624,0.7804466001853757,1.5282742942253822,45.694494027028306
been,0.0025738861281043,0.8663659642812939,1.0140502615434164,65.43841413189385
name,0.0005632105667411,0.5860041674190984,2.6170570596749054,21.169710000926244
card,0.0001522190720921,0.247874871905603,3.9658741414245964,13.526373847328532
of,0.0347336246319456,0.9883171509564507,0.11611762614645371,774.1027201084336
Her,0.0027676194925853,0.8748101817919411,0.9485893484691335,69.6846897250322
visitor,1.4114859412185093e-05,0.0385851901084252,4.5760410548766455,8.057507742410072
genealogical,1.5221907209219217e-06,0.005330611422298631,4.654985934937619,6.289800398375495
researcher,1.15132970891549e-05,0.029912225481495736,4.6447336264766195,8.478046699554273
who,0.0030305433443809,0.8714450613087623,0.9559271614939088,76.59938908189422
managed,7.956906041182773e-05,0.22011574198827755,4.235266836579,7.962289165031051
track,0.0001453000233607,0.2816036290038333,3.9679567193515037,11.365073688363262
down,0.0010503115974361,0.7541865953428354,1.6959542427800791,30.674971708160093
Berlin,3.321143391102375e-05,0.09962041731350602,4.565973823279689,7.343178564846982
letter,0.0001232974483946,0.25901919634507986,3.9908243463692648,10.484964311419041
given,0.0003556391047972,0.5352637052936138,2.883898151440554,14.634791224662301
International,0.000316892431901,0.4977351539978837,3.0392936631905036,14.02356304519767
Maritime,1.2620344886189024e-05,0.040677378361937334,4.676793693960464,6.833812948339354
Museum,7.098943998481325e-05,0.17587895198470652,4.278943699334706,8.890469575654167
northern,9.797373003752004e-05,0.22983034872706726,4.082505476638138,9.389599874052282
port,7.431058337591563e-05,0.14904252911502194,4.275292698273576,10.982097074175092
city,0.0005632105667411,0.5909514680372447,2.5453292312258817,20.99248238573575
Hamburg,5.770486642040376e-06,0.019763926091610238,4.6394122944619,6.431081863549705
The,0.0743105833759156,0.9945340788479488,0.058066939117758426,1645.7953103203645
brown,0.0001411485941218,0.31598182881900727,3.8696946597499418,9.839188196450708
beer,6.932886828926206e-05,0.13856873692500912,4.429938242790635,11.02030645478506
which,0.0027676194925853,0.9046670228382215,0.7609772207917105,67.38487702935963
water,0.0004580410260228,0.5280236828906814,2.800124183890282,19.10714484827027
for,0.014114859412185,0.9686293510991967,0.2780785431218543,320.96948919438586
catch,0.0001025403022002,0.22186950153839374,4.262924485425067,10.179859977785213
Konrad,9.797373003752006e-07,0.0032560690853899632,4.716134031283875,6.627669612859607
Fischer,4.580410260228692e-06,0.013576206667193853,4.532892975535915,7.4314020400783
fisherman,4.275972116044308e-06,0.012630095830767145,4.6427321383733124,7.457152725964433
off,0.001177622094095,0.7314361567195252,1.7764241159179264,35.46290750942276
Kiel,9.146982422994456e-07,0.002554137984169413,4.586830008300357,7.888207164786523
