"","range","y_lower","y_upper","y","delta","language","predictor","psychometric"
"56",5.5,-8.9584950461966,14.5058392869238,0,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"57",0,-1798.03448745618,-98.8458169862454,-1072.07394862337,274.050348488247,"EN","vmi_baseline","gaze_duration"
"58",0.1,-1698.52098590527,-67.764344299343,-1001.70628701099,274.050348488247,"EN","vmi_baseline","gaze_duration"
"59",0.2,-1599.00748435437,-36.682871612443,-931.338625398618,274.050348488247,"EN","vmi_baseline","gaze_duration"
"60",0.3,-1499.49398280346,-5.60139892554071,-860.970963786242,274.050348488247,"EN","vmi_baseline","gaze_duration"
"61",0.4,-1399.98048125255,25.4800737613602,-790.603302173868,274.050348488247,"EN","vmi_baseline","gaze_duration"
"62",0.5,-1300.46697970164,56.5615464482623,-720.235640561493,274.050348488247,"EN","vmi_baseline","gaze_duration"
"63",0.6,-1200.95347815074,87.6430191351641,-649.867978949117,274.050348488247,"EN","vmi_baseline","gaze_duration"
"64",0.7,-1101.43997659983,118.724491822066,-579.500317336742,274.050348488247,"EN","vmi_baseline","gaze_duration"
"65",0.8,-1001.92759297451,149.805964508967,-509.132655724368,274.050348488247,"EN","vmi_baseline","gaze_duration"
"66",0.9,-902.475952993525,180.88743719587,-438.764994111992,274.050348488247,"EN","vmi_baseline","gaze_duration"
"67",1,-803.024313012542,211.968909882771,-368.397332499617,274.050348488247,"EN","vmi_baseline","gaze_duration"
"68",1.1,-703.572673031558,243.050382569673,-298.029670887243,274.050348488247,"EN","vmi_baseline","gaze_duration"
"69",1.2,-604.121033050575,274.131855256575,-227.662009274867,274.050348488247,"EN","vmi_baseline","gaze_duration"
"70",1.3,-504.669393069592,305.213327943476,-157.294347662493,274.050348488247,"EN","vmi_baseline","gaze_duration"
"71",1.4,-405.217753088608,336.294800630378,-86.9266860501172,274.050348488247,"EN","vmi_baseline","gaze_duration"
"72",1.5,-305.766113107625,367.376273317279,-16.5590244377428,274.050348488247,"EN","vmi_baseline","gaze_duration"
"73",1.6,-206.314473126641,398.457746004182,53.8086371746331,274.050348488247,"EN","vmi_baseline","gaze_duration"
"74",1.7,-106.862833145657,430.725405725189,124.176298787008,274.050348488247,"EN","vmi_baseline","gaze_duration"
"75",1.8,-7.41119316467422,463.740365330785,194.543960399383,274.050348488247,"EN","vmi_baseline","gaze_duration"
"76",1.9,92.0404468163097,496.755324936382,264.911622011758,274.050348488247,"EN","vmi_baseline","gaze_duration"
"77",2,191.492086797293,529.770284541978,335.279283624133,274.050348488247,"EN","vmi_baseline","gaze_duration"
"78",2.1,290.943726778276,562.785244147575,405.646945236508,274.050348488247,"EN","vmi_baseline","gaze_duration"
"79",2.2,390.39536675926,595.800203753171,476.014606848883,274.050348488247,"EN","vmi_baseline","gaze_duration"
"80",2.3,488.302452339663,628.797606645496,546.357713117256,274.050348488247,"EN","vmi_baseline","gaze_duration"
"81",2.4,577.028382589742,657.117481257254,610.158688507587,274.050348488247,"EN","vmi_baseline","gaze_duration"
"82",2.5,627.874494202595,666.553986518077,645.723257053878,274.050348488247,"EN","vmi_baseline","gaze_duration"
"83",2.6,617.771045533441,653.813166020239,633.961998829406,274.050348488247,"EN","vmi_baseline","gaze_duration"
"84",2.7,574.803522603431,617.809184913344,593.207250328654,274.050348488247,"EN","vmi_baseline","gaze_duration"
"85",2.8,533.132647223704,580.27977765611,553.614176150332,274.050348488247,"EN","vmi_baseline","gaze_duration"
"86",2.9,498.845325695408,547.064153683591,520.564982713873,274.050348488247,"EN","vmi_baseline","gaze_duration"
"87",3,470.288943507351,517.487243010732,492.817110061122,274.050348488247,"EN","vmi_baseline","gaze_duration"
"88",3.1,446.346127522863,490.873918461557,469.127940073008,274.050348488247,"EN","vmi_baseline","gaze_duration"
"89",3.2,425.381763395771,467.29209287585,448.25485463046,274.050348488247,"EN","vmi_baseline","gaze_duration"
"90",3.3,406.354994348338,447.270659711236,428.970168458338,274.050348488247,"EN","vmi_baseline","gaze_duration"
"91",3.4,388.598919342949,429.400210283659,410.559672238756,274.050348488247,"EN","vmi_baseline","gaze_duration"
"92",3.5,371.518714348309,411.922330226382,392.939798111522,274.050348488247,"EN","vmi_baseline","gaze_duration"
"93",3.6,354.827143633366,394.816059277762,376.065654913556,274.050348488247,"EN","vmi_baseline","gaze_duration"
"94",3.7,339.233985446623,378.080001949835,359.892351481776,274.050348488247,"EN","vmi_baseline","gaze_duration"
"95",3.8,324.645647989984,361.712762754641,344.374996653103,274.050348488247,"EN","vmi_baseline","gaze_duration"
"96",3.9,310.968539465352,345.712946204215,329.468699264456,274.050348488247,"EN","vmi_baseline","gaze_duration"
"97",4,298.087828270444,330.079156810597,315.128568152754,274.050348488247,"EN","vmi_baseline","gaze_duration"
"98",4.1,285.855188011549,314.809999085823,301.309712154918,274.050348488247,"EN","vmi_baseline","gaze_duration"
"99",4.2,274.155776133795,299.904077541931,287.967240107866,274.050348488247,"EN","vmi_baseline","gaze_duration"
"100",4.3,261.937648018519,285.391793949464,275.056260848518,274.050348488247,"EN","vmi_baseline","gaze_duration"
"101",4.4,250.188010924084,271.710752428918,262.531883213794,274.050348488247,"EN","vmi_baseline","gaze_duration"
"102",4.5,238.845379434929,259.068155370349,250.349216040612,274.050348488247,"EN","vmi_baseline","gaze_duration"
"103",4.6,227.848268135489,246.72541142335,238.463368165894,274.050348488247,"EN","vmi_baseline","gaze_duration"
"104",4.7,216.761836363622,234.821900840971,226.829487463669,274.050348488247,"EN","vmi_baseline","gaze_duration"
"105",4.8,205.411611420139,223.825975124177,215.41255522422,274.050348488247,"EN","vmi_baseline","gaze_duration"
"106",4.9,194.366628317935,212.942868331472,204.200311634752,274.050348488247,"EN","vmi_baseline","gaze_duration"
"107",5,183.271556038222,202.167592741247,193.183707415536,274.050348488247,"EN","vmi_baseline","gaze_duration"
"108",5.1,172.351602616844,191.536615718112,182.353693286841,274.050348488247,"EN","vmi_baseline","gaze_duration"
"109",5.2,161.568056872638,181.886612455732,171.701219968937,274.050348488247,"EN","vmi_baseline","gaze_duration"
"110",5.3,150.987156175043,172.327857014161,161.217238182095,274.050348488247,"EN","vmi_baseline","gaze_duration"
"111",5.4,140.598016940172,162.821497685638,150.892698646585,274.050348488247,"EN","vmi_baseline","gaze_duration"
"112",5.5,130.389755584138,153.364560684482,140.718552082677,274.050348488247,"EN","vmi_baseline","gaze_duration"
"113",5.6,120.309734135333,143.954072225015,130.685749210641,274.050348488247,"EN","vmi_baseline","gaze_duration"
"114",5.7,110.381049608634,134.587058521556,120.785240750747,274.050348488247,"EN","vmi_baseline","gaze_duration"
"115",5.8,100.400561120453,125.260545788427,111.007977423266,274.050348488247,"EN","vmi_baseline","gaze_duration"
"116",5.9,90.4839883054277,115.971560239948,101.344909948467,274.050348488247,"EN","vmi_baseline","gaze_duration"
"117",6,80.6889192026264,106.717128090438,91.7869890466214,274.050348488247,"EN","vmi_baseline","gaze_duration"
"118",6.1,71.004896780029,97.4942755542194,82.3251654379984,274.050348488247,"EN","vmi_baseline","gaze_duration"
"119",6.2,61.4214640056161,88.3000288456119,72.9503898428687,274.050348488247,"EN","vmi_baseline","gaze_duration"
"120",6.3,51.8315467812888,79.1314141789359,63.6536129815021,274.050348488247,"EN","vmi_baseline","gaze_duration"
"121",6.4,41.7994000373683,69.985457768512,54.425785574169,274.050348488247,"EN","vmi_baseline","gaze_duration"
"122",6.5,31.8149918691417,60.8591858286607,45.2578583411393,274.050348488247,"EN","vmi_baseline","gaze_duration"
"123",6.6,21.8711102821468,51.7496245737023,36.1407820026834,274.050348488247,"EN","vmi_baseline","gaze_duration"
"124",6.7,11.9605432819216,42.6538002179576,27.0655072790714,274.050348488247,"EN","vmi_baseline","gaze_duration"
"125",6.8,2.07607887400371,34.0070589294571,18.0229848905733,274.050348488247,"EN","vmi_baseline","gaze_duration"
"126",6.9,-7.78949493606871,25.633234666592,9.00416555745954,274.050348488247,"EN","vmi_baseline","gaze_duration"
"127",7,-17.6433901427579,17.2715406847291,0,274.050348488247,"EN","vmi_baseline","gaze_duration"
"128",0,35.0181130271082,36.9743422876312,36.1011099706791,25.0000241579184,"ZH","vmi_qwenzt","gaze_duration"
"129",0.1,35.0016797138146,37.0622677208557,36.1026103957264,25.0000241579184,"ZH","vmi_qwenzt","gaze_duration"
"130",0.2,34.8155333390019,37.2517895165942,36.1079440916641,25.0000241579184,"ZH","vmi_qwenzt","gaze_duration"
